,filename,in_channels,out_channels,kernel_size,stride,padding,bias,input_spatial_x,input_spatial_y,ops,params
0,models/vgg16/vgg16_0.onnx,3,64,"(3, 3)","(1, 1)","(1, 1)",True,224,224,86704128.0,1792
1,models/vgg16/vgg16_1.onnx,64,64,"(3, 3)","(1, 1)","(1, 1)",True,224,224,1849688064.0,36928
2,models/vgg16/vgg16_2.onnx,64,128,"(3, 3)","(1, 1)","(1, 1)",True,112,112,924844032.0,73856
3,models/vgg16/vgg16_3.onnx,128,128,"(3, 3)","(1, 1)","(1, 1)",True,112,112,1849688064.0,147584
4,models/vgg16/vgg16_4.onnx,128,256,"(3, 3)","(1, 1)","(1, 1)",True,56,56,924844032.0,295168
5,models/vgg16/vgg16_5.onnx,256,256,"(3, 3)","(1, 1)","(1, 1)",True,56,56,1849688064.0,590080
6,models/vgg16/vgg16_6.onnx,256,256,"(3, 3)","(1, 1)","(1, 1)",True,56,56,1849688064.0,590080
7,models/vgg16/vgg16_7.onnx,256,512,"(3, 3)","(1, 1)","(1, 1)",True,28,28,924844032.0,1180160
8,models/vgg16/vgg16_8.onnx,512,512,"(3, 3)","(1, 1)","(1, 1)",True,28,28,1849688064.0,2359808
9,models/vgg16/vgg16_9.onnx,512,512,"(3, 3)","(1, 1)","(1, 1)",True,28,28,1849688064.0,2359808
10,models/vgg16/vgg16_10.onnx,512,512,"(3, 3)","(1, 1)","(1, 1)",True,14,14,462422016.0,2359808
11,models/vgg16/vgg16_11.onnx,512,512,"(3, 3)","(1, 1)","(1, 1)",True,14,14,462422016.0,2359808
12,models/vgg16/vgg16_12.onnx,512,512,"(3, 3)","(1, 1)","(1, 1)",True,14,14,462422016.0,2359808
