,filename,in_channels,out_channels,kernel_size,stride,padding,bias,input_spatial_x,input_spatial_y,ops,params
0,3,64,"(7, 7)","(2, 2)","(3, 3)",,224.0,224,118013952.0,9408.0,
1,resnet/resnet50_1.onnx,64,64,"(1, 1)","(1, 1)","(0, 0)",,tensor(56),tensor(56),12845056.0,4096.0
2,resnet/resnet50_2.onnx,64,64,"(3, 3)","(1, 1)","(1, 1)",,tensor(56),tensor(56),115605504.0,36864.0
3,resnet/resnet50_3.onnx,64,256,"(1, 1)","(1, 1)","(0, 0)",,tensor(56),tensor(56),51380224.0,16384.0
4,resnet/resnet50_4.onnx,256,64,"(1, 1)","(1, 1)","(0, 0)",,tensor(56),tensor(56),51380224.0,16384.0
5,resnet/resnet50_5.onnx,64,64,"(3, 3)","(1, 1)","(1, 1)",,tensor(56),tensor(56),115605504.0,36864.0
6,resnet/resnet50_6.onnx,64,256,"(1, 1)","(1, 1)","(0, 0)",,tensor(56),tensor(56),51380224.0,16384.0
7,resnet/resnet50_7.onnx,256,64,"(1, 1)","(1, 1)","(0, 0)",,tensor(56),tensor(56),51380224.0,16384.0
8,resnet/resnet50_8.onnx,64,64,"(3, 3)","(1, 1)","(1, 1)",,tensor(56),tensor(56),115605504.0,36864.0
9,resnet/resnet50_9.onnx,64,256,"(1, 1)","(1, 1)","(0, 0)",,tensor(56),tensor(56),51380224.0,16384.0
10,resnet/resnet50_10.onnx,256,128,"(1, 1)","(1, 1)","(0, 0)",,tensor(56),tensor(56),102760448.0,32768.0
11,resnet/resnet50_11.onnx,128,128,"(3, 3)","(2, 2)","(1, 1)",,tensor(56),tensor(56),115605504.0,147456.0
12,resnet/resnet50_12.onnx,128,512,"(1, 1)","(1, 1)","(0, 0)",,tensor(28),tensor(28),51380224.0,65536.0
13,resnet/resnet50_13.onnx,512,128,"(1, 1)","(1, 1)","(0, 0)",,tensor(28),tensor(28),51380224.0,65536.0
14,resnet/resnet50_14.onnx,128,128,"(3, 3)","(1, 1)","(1, 1)",,tensor(28),tensor(28),115605504.0,147456.0
15,resnet/resnet50_15.onnx,128,512,"(1, 1)","(1, 1)","(0, 0)",,tensor(28),tensor(28),51380224.0,65536.0
16,resnet/resnet50_16.onnx,512,128,"(1, 1)","(1, 1)","(0, 0)",,tensor(28),tensor(28),51380224.0,65536.0
17,resnet/resnet50_17.onnx,128,128,"(3, 3)","(1, 1)","(1, 1)",,tensor(28),tensor(28),115605504.0,147456.0
18,resnet/resnet50_18.onnx,128,512,"(1, 1)","(1, 1)","(0, 0)",,tensor(28),tensor(28),51380224.0,65536.0
19,resnet/resnet50_19.onnx,512,128,"(1, 1)","(1, 1)","(0, 0)",,tensor(28),tensor(28),51380224.0,65536.0
20,resnet/resnet50_20.onnx,128,128,"(3, 3)","(1, 1)","(1, 1)",,tensor(28),tensor(28),115605504.0,147456.0
21,resnet/resnet50_21.onnx,128,512,"(1, 1)","(1, 1)","(0, 0)",,tensor(28),tensor(28),51380224.0,65536.0
22,resnet/resnet50_22.onnx,512,256,"(1, 1)","(1, 1)","(0, 0)",,tensor(28),tensor(28),102760448.0,131072.0
23,resnet/resnet50_23.onnx,256,256,"(3, 3)","(2, 2)","(1, 1)",,tensor(28),tensor(28),115605504.0,589824.0
24,resnet/resnet50_24.onnx,256,1024,"(1, 1)","(1, 1)","(0, 0)",,tensor(14),tensor(14),51380224.0,262144.0
25,resnet/resnet50_25.onnx,1024,256,"(1, 1)","(1, 1)","(0, 0)",,tensor(14),tensor(14),51380224.0,262144.0
26,resnet/resnet50_26.onnx,256,256,"(3, 3)","(1, 1)","(1, 1)",,tensor(14),tensor(14),115605504.0,589824.0
27,resnet/resnet50_27.onnx,256,1024,"(1, 1)","(1, 1)","(0, 0)",,tensor(14),tensor(14),51380224.0,262144.0
28,resnet/resnet50_28.onnx,1024,256,"(1, 1)","(1, 1)","(0, 0)",,tensor(14),tensor(14),51380224.0,262144.0
29,resnet/resnet50_29.onnx,256,256,"(3, 3)","(1, 1)","(1, 1)",,tensor(14),tensor(14),115605504.0,589824.0
30,resnet/resnet50_30.onnx,256,1024,"(1, 1)","(1, 1)","(0, 0)",,tensor(14),tensor(14),51380224.0,262144.0
31,resnet/resnet50_31.onnx,1024,256,"(1, 1)","(1, 1)","(0, 0)",,tensor(14),tensor(14),51380224.0,262144.0
32,resnet/resnet50_32.onnx,256,256,"(3, 3)","(1, 1)","(1, 1)",,tensor(14),tensor(14),115605504.0,589824.0
33,resnet/resnet50_33.onnx,256,1024,"(1, 1)","(1, 1)","(0, 0)",,tensor(14),tensor(14),51380224.0,262144.0
34,resnet/resnet50_34.onnx,1024,256,"(1, 1)","(1, 1)","(0, 0)",,tensor(14),tensor(14),51380224.0,262144.0
35,resnet/resnet50_35.onnx,256,256,"(3, 3)","(1, 1)","(1, 1)",,tensor(14),tensor(14),115605504.0,589824.0
36,resnet/resnet50_36.onnx,256,1024,"(1, 1)","(1, 1)","(0, 0)",,tensor(14),tensor(14),51380224.0,262144.0
37,resnet/resnet50_37.onnx,1024,256,"(1, 1)","(1, 1)","(0, 0)",,tensor(14),tensor(14),51380224.0,262144.0
38,resnet/resnet50_38.onnx,256,256,"(3, 3)","(1, 1)","(1, 1)",,tensor(14),tensor(14),115605504.0,589824.0
39,resnet/resnet50_39.onnx,256,1024,"(1, 1)","(1, 1)","(0, 0)",,tensor(14),tensor(14),51380224.0,262144.0
40,resnet/resnet50_40.onnx,1024,512,"(1, 1)","(1, 1)","(0, 0)",,tensor(14),tensor(14),102760448.0,524288.0
41,resnet/resnet50_41.onnx,512,512,"(3, 3)","(2, 2)","(1, 1)",,tensor(14),tensor(14),115605504.0,2359296.0
42,resnet/resnet50_42.onnx,512,2048,"(1, 1)","(1, 1)","(0, 0)",,tensor(7),tensor(7),51380224.0,1048576.0
43,resnet/resnet50_43.onnx,2048,512,"(1, 1)","(1, 1)","(0, 0)",,tensor(7),tensor(7),51380224.0,1048576.0
44,resnet/resnet50_44.onnx,512,512,"(3, 3)","(1, 1)","(1, 1)",,tensor(7),tensor(7),115605504.0,2359296.0
45,resnet/resnet50_45.onnx,512,2048,"(1, 1)","(1, 1)","(0, 0)",,tensor(7),tensor(7),51380224.0,1048576.0
46,resnet/resnet50_46.onnx,2048,512,"(1, 1)","(1, 1)","(0, 0)",,tensor(7),tensor(7),51380224.0,1048576.0
47,resnet/resnet50_47.onnx,512,512,"(3, 3)","(1, 1)","(1, 1)",,tensor(7),tensor(7),115605504.0,2359296.0
48,resnet/resnet50_48.onnx,512,2048,"(1, 1)","(1, 1)","(0, 0)",,tensor(7),tensor(7),51380224.0,1048576.0
